Search Term,Date From,Date To,Center Lat,Center Lon,WHE 1,WHE 2,Wiki 1,Wiki 2
france,1990,1990,46.5,2.5,https://www.worldhistory.org/France/,,https://en.wikipedia.org/wiki/France,
germany,1990,1990,51.5,10.5,https://www.worldhistory.org/Germany/,,https://en.wikipedia.org/wiki/Germany,
united kingdom,1990,1990,55.0,-3.0,https://www.worldhistory.org/United_Kingdom/,,https://en.wikipedia.org/wiki/United_Kingdom,
great britain,1990,1990,55.0,-3.0,https://www.worldhistory.org/Great_Britain/,,https://en.wikipedia.org/wiki/Great_Britain,
uk,1990,1990,55.0,-3.0,,,,
britain,1990,1990,55.0,-3.0,,,,
england,1990,1990,53.0,-2.0,https://www.worldhistory.org/England/,,https://en.wikipedia.org/wiki/England,
scotland,1990,1990,57.5,-4.5,https://www.worldhistory.org/Scotland/,,https://en.wikipedia.org/wiki/Scotland,
wales,1990,1990,52.5,-4.0,https://www.worldhistory.org/Wales/,,https://en.wikipedia.org/wiki/Wales,
ireland,1990,1990,53.5,-8.0,https://www.worldhistory.org/Ancient_Ireland/,,https://en.wikipedia.org/wiki/Ireland,
spain,1990,1990,40.0,-2.5,https://www.worldhistory.org/Spain/,,https://en.wikipedia.org/wiki/Spain,
portugal,1990,1990,39.0,-8.0,https://www.worldhistory.org/Portugal/,,https://en.wikipedia.org/wiki/Portugal,
italy,1990,1990,42.0,12.5,https://www.worldhistory.org/italy/,,https://en.wikipedia.org/wiki/Italy,
greece,1990,1990,38.5,23.5,https://www.worldhistory.org/greece/,,https://en.wikipedia.org/wiki/Greece,
turkey,1990,1990,39.0,35.5,https://www.worldhistory.org/Turkey/,,https://en.wikipedia.org/wiki/Turkey,
ukraine,1990,1990,48.5,31.0,https://www.worldhistory.org/Ukraine/,,https://en.wikipedia.org/wiki/Ukraine,
russia,1990,1990,60.0,105.0,https://www.worldhistory.org/Russia/,,https://en.wikipedia.org/wiki/Russia,
poland,1990,1990,52.0,19.0,https://www.worldhistory.org/Poland/,,https://en.wikipedia.org/wiki/Poland,
sweden,1990,1990,62.0,17.5,https://www.worldhistory.org/Sweden/,,https://en.wikipedia.org/wiki/Sweden,
norway,1990,1990,64.0,17.5,https://www.worldhistory.org/Norway/,,https://en.wikipedia.org/wiki/Norway,
finland,1990,1990,64.5,26.0,,,https://en.wikipedia.org/wiki/Finland,
denmark,1990,1990,56.0,11.5,https://www.worldhistory.org/Denmark/,,https://en.wikipedia.org/wiki/Denmark,
netherlands,1990,1990,52.0,5.5,https://www.worldhistory.org/Netherlands/,,https://en.wikipedia.org/wiki/Netherlands,
belgium,1990,1990,50.5,4.5,https://www.worldhistory.org/Belgium/,,https://en.wikipedia.org/wiki/Belgium,
switzerland,1990,1990,46.5,8.5,https://www.worldhistory.org/Switzerland/,,https://en.wikipedia.org/wiki/Switzerland,
austria,1990,1990,47.5,13.5,https://www.worldhistory.org/Austria/,,https://en.wikipedia.org/wiki/Austria,
hungary,1990,1990,47.0,19.5,https://www.worldhistory.org/Hungary/,,https://en.wikipedia.org/wiki/Hungary,
romania,1990,1990,46.0,26.0,,,https://en.wikipedia.org/wiki/Romania,
bulgaria,1990,1990,42.5,25.5,https://www.worldhistory.org/Bulgaria/,,https://en.wikipedia.org/wiki/Bulgaria,
serbia,1990,1990,44.0,21.0,https://www.worldhistory.org/Serbia/,,https://en.wikipedia.org/wiki/Serbia,
croatia,1990,1990,44.5,16.5,https://www.worldhistory.org/Croatia/,,https://en.wikipedia.org/wiki/Croatia,
czech republic,1990,1990,50.0,15.5,https://www.worldhistory.org/Czech_Republic/,,https://en.wikipedia.org/wiki/Czech_Republic,
slovakia,1990,1990,48.5,19.5,https://www.worldhistory.org/Slovakia/,,https://en.wikipedia.org/wiki/Slovakia,
albania,1990,1990,41.0,20.0,https://www.worldhistory.org/Albania/,,https://en.wikipedia.org/wiki/Albania,
north macedonia,1990,1990,41.5,21.5,,,https://en.wikipedia.org/wiki/North_Macedonia,
bosnia,1990,1990,44.0,17.5,https://www.worldhistory.org/Bosnia/,,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina,
slovenia,1990,1990,46.0,15.0,https://www.worldhistory.org/Slovenia/,,https://en.wikipedia.org/wiki/Slovenia,
latvia,1990,1990,56.5,24.5,https://www.worldhistory.org/Latvia/,,https://en.wikipedia.org/wiki/Latvia,
lithuania,1990,1990,55.0,24.0,https://www.worldhistory.org/Lithuania/,,https://en.wikipedia.org/wiki/Lithuania,
estonia,1990,1990,58.5,24.5,https://www.worldhistory.org/Estonia/,,https://en.wikipedia.org/wiki/Estonia,
belarus,1990,1990,53.5,28.0,https://www.worldhistory.org/Belarus/,,https://en.wikipedia.org/wiki/Belarus,
moldova,1990,1990,47.0,29.0,,,https://en.wikipedia.org/wiki/Moldova,
iceland,1990,1990,65.0,-19.0,https://www.worldhistory.org/Iceland/,,https://en.wikipedia.org/wiki/Iceland,
luxembourg,1990,1990,50.0,6.0,,,https://en.wikipedia.org/wiki/Luxembourg,
egypt,1990,1990,27.0,31.0,https://www.worldhistory.org/egypt/,,https://en.wikipedia.org/wiki/Egypt,
israel,1990,1990,31.5,35.0,https://www.worldhistory.org/Israel/,,https://en.wikipedia.org/wiki/Israel,
